fold,model,Vitória_order,Vitória_fourier_order,Belo Horizonte_order,Belo Horizonte_fourier_order,Rio de Janeiro_order,Rio de Janeiro_fourier_order,São Paulo_order,São Paulo_fourier_order,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,bandwidth,reg,iters,exponent,diag
1,baseline,,,,,,,,,,,,,,,,,,,,,,
1,sarima,"(0, 1, 1)",1.0,"(0, 1, 0)",1.0,"(2, 1, 0)",1.0,"(2, 0, 1)",2.0,,,,,,,,,,,,,,
1,xgb_cases_only,,,,,,,,,1000.0,3.0,0.03,0.9,0.7,5.0,0.1,0.1,0.0,,,,,
1,xgb_cases_climate,,,,,,,,,200.0,4.0,0.05,0.5,0.9,1.0,0.1,0.5,1.0,,,,,
1,xgb_cases_climate_sst,,,,,,,,,500.0,5.0,0.1,0.6,1.0,3.0,1.0,0.5,1.0,,,,,
1,xrfm_cases_only,,,,,,,,,,,,,,,,,,20.0,0.001,5.0,1.5,True
1,xrfm_cases_climate,,,,,,,,,,,,,,,,,,20.0,0.001,5.0,1.5,True
1,xrfm_cases_climate_sst,,,,,,,,,,,,,,,,,,20.0,0.001,5.0,1.5,True
2,baseline,,,,,,,,,,,,,,,,,,,,,,
2,sarima,"(1, 0, 0)",3.0,"(2, 1, 1)",2.0,"(2, 1, 0)",3.0,"(0, 0, 1)",3.0,,,,,,,,,,,,,,
2,xgb_cases_only,,,,,,,,,1000.0,3.0,0.1,0.6,0.9,15.0,1.0,1.0,0.1,,,,,
2,xgb_cases_climate,,,,,,,,,1000.0,5.0,0.2,0.9,0.9,15.0,0.1,0.1,0.1,,,,,
2,xgb_cases_climate_sst,,,,,,,,,1000.0,5.0,0.2,0.9,0.9,15.0,0.1,0.1,0.1,,,,,
2,xrfm_cases_only,,,,,,,,,,,,,,,,,,20.0,0.001,5.0,1.5,True
2,xrfm_cases_climate,,,,,,,,,,,,,,,,,,20.0,0.001,5.0,1.5,True
2,xrfm_cases_climate_sst,,,,,,,,,,,,,,,,,,50.0,0.01,2.0,2.0,True
3,baseline,,,,,,,,,,,,,,,,,,,,,,
3,sarima,"(2, 1, 1)",3.0,"(2, 0, 1)",3.0,"(0, 1, 1)",3.0,"(0, 0, 1)",3.0,,,,,,,,,,,,,,
3,xgb_cases_only,,,,,,,,,300.0,7.0,0.2,0.7,1.0,3.0,0.5,1.0,0.5,,,,,
3,xgb_cases_climate,,,,,,,,,1000.0,5.0,0.2,0.9,0.9,15.0,0.1,0.1,0.1,,,,,
3,xgb_cases_climate_sst,,,,,,,,,1000.0,3.0,0.1,0.6,0.9,15.0,1.0,1.0,0.1,,,,,
3,xrfm_cases_only,,,,,,,,,,,,,,,,,,30.0,0.01,1.0,2.0,True
3,xrfm_cases_climate,,,,,,,,,,,,,,,,,,30.0,0.0001,2.0,1.0,True
3,xrfm_cases_climate_sst,,,,,,,,,,,,,,,,,,50.0,0.01,2.0,2.0,True
4,baseline,,,,,,,,,,,,,,,,,,,,,,
4,sarima,"(2, 1, 1)",3.0,"(2, 0, 1)",3.0,"(0, 1, 1)",3.0,"(0, 0, 1)",3.0,,,,,,,,,,,,,,
4,xgb_cases_only,,,,,,,,,300.0,7.0,0.2,0.7,1.0,3.0,0.5,1.0,0.5,,,,,
4,xgb_cases_climate,,,,,,,,,1000.0,5.0,0.2,0.9,0.9,15.0,0.1,0.1,0.1,,,,,
4,xgb_cases_climate_sst,,,,,,,,,1000.0,3.0,0.1,0.6,0.9,15.0,1.0,1.0,0.1,,,,,
4,xrfm_cases_only,,,,,,,,,,,,,,,,,,30.0,0.01,1.0,2.0,True
