feature,importance
cases_week_t-1,0.109948225
cases_week_t-2,0.083461985
cases_week_t-4,0.08059497
cases_week_t-3,0.071999826
cases_week_t-5,0.054907296
cases_week_t-6,0.051594745
cases_week_t-8,0.046437368
rt_week_t-1,0.044661686
cases_week_t-7,0.044052202
rt_week_t-4,0.042564925
cases_weekly_growth_avg_8w,0.042356398
cases_week_t-9,0.041544862
cases_week_t-10,0.02571165
rt_week_t-8,0.024559772
cases_weekly_growth_avg_4w,0.023309553
rt_week_t-2,0.019166345
cases_week_t-11,0.01658208
cases_rolling_mean_26w,0.015775116
rt_week_t-3,0.0114138145
cases_week_t-12,0.008403503
temp_anomaly,0.007995913
rt_week_t-7,0.007967402
rt_week_t-6,0.0067224596
cases_rolling_mean_52w,0.0063487594
week_cos,0.0062360372
rt_week_t-5,0.0058968104
sustained_rt_week_t-7,0.005483544
sustained_rt_week_t-4,0.0049296925
p_rt1_week_t-5,0.0049129114
sustained_rt_week_t-1,0.0041204407
cases_growth_52w,0.0035564057
sustained_rt_week_t-8,0.0025082836
city_is_vitoria,0.0024863249
week_sin,0.0023351943
humid_week_t-7,0.0020612702
temp_week_t-3,0.0019987216
sustained_rt_week_t-3,0.0019633619
city_is_belo_horizonte,0.0019059074
nino34_anom,0.0018648229
rt_weekly_growth_avg_8w,0.0018524501
cases_growth_13w,0.0018450826
city_is_sao_paulo,0.0018052417
tempmed,0.0017785705
year,0.0017435038
time_index,0.0017186966
humid_week_t-2,0.001677959
p_rt1_week_t-3,0.0016475464
nino34_month_t-2,0.0016233204
sustained_rt_week_t-2,0.0015863728
humid_rolling_mean_26w,0.0015401039
humid_week_t-4,0.0015078248
sustained_rt_week_t-6,0.0015066294
week,0.0014789199
p_rt1_week_t-1,0.0014542603
humid_week_t-3,0.0014467019
cases_weekly_growth_accel,0.0014184987
nino34_month_t-5,0.0013714866
p_rt1_week_t-4,0.0013266745
is_la_nina,0.0013046165
sustained_rt_week_t-5,0.0012995643
p_rt1_week_t-6,0.001184388
humid_week_t-1,0.001158159
p_rt1_week_t-2,0.0011303426
humid_anomaly,0.0011008084
is_neutral,0.0010490678
nino34_month_t-3,0.0010476409
p_rt1_week_t-8,0.0010276961
humid_weekly_growth_avg_8w,0.0010228128
sustained_rt_weekly_growth_accel,0.0010072904
city_is_rio_de_janeiro,0.001000624
nino34_monthly_growth_accel,0.0009864811
humid_weekly_growth_accel,0.0009676206
nino34_month_t-4,0.0007739887
p_rt1_weekly_growth_avg_8w,0.00072848407
temp_rolling_mean_26w,0.0006642934
sustained_rt_weekly_growth_avg_4w,0.00065217045
p_rt1_week_t-7,0.000650322
sustained_rt_weekly_growth_avg_8w,0.0006213187
nino34_month_t-1,0.00060772296
nino34_month_t-6,0.0005969705
nino34_monthly_growth_avg_3m,0.00057081465
rt_weekly_growth_accel,0.00052009197
temp_week_t-5,0.0004991629
cases_rolling_std_52w,0.0004950617
humid_week_t-8,0.00048430552
humid_week_t-5,0.00047644495
p_rt1_weekly_growth_avg_4w,0.00047556555
humid_weekly_growth_avg_4w,0.00042952894
temp_weekly_growth_avg_8w,0.00042743454
nino34_monthly_growth_avg_6m,0.00042106648
temp_weekly_growth_avg_4w,0.00041765333
temp_weekly_growth_accel,0.00039677357
temp_week_t-6,0.00038547465
p_rt1_weekly_growth_accel,0.00036231126
humidmed,0.00035242573
temp_week_t-4,0.00034323632
is_el_nino,0.0003136652
temp_week_t-8,0.0003085643
temp_week_t-1,0.00029782343
rt_weekly_growth_avg_4w,0.00028214455
humid_week_t-6,0.00018920987
temp_week_t-2,0.00016342105
temp_week_t-7,0.00013497942
