fold,model,precision,recall,f1,auc,nivel_inc_rule_precision,nivel_inc_rule_recall,nivel_inc_rule_f1,sustained_rt_rule_precision,sustained_rt_rule_recall,sustained_rt_rule_f1
1,logreg,0.6829268292682927,0.9032258064516129,0.7777777777777778,0.9770366320393657,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.375,0.2903225806451613,0.32727272727272727
1,xgb_clf,0.8,0.7741935483870968,0.7868852459016393,0.9774011299435028,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.375,0.2903225806451613,0.32727272727272727
2,logreg,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,xgb_clf,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3,logreg,0.0,0.0,0.0,0.927536231884058,0.0,0.0,0.0,0.0,0.0,0.0
3,xgb_clf,0.0,0.0,0.0,0.9371980676328502,0.0,0.0,0.0,0.0,0.0,0.0
4,logreg,0.9152542372881356,0.9473684210526315,0.9310344827586207,0.993261298942721,0.9285714285714286,0.9122807017543859,0.9203539823008849,0.6666666666666666,0.5614035087719298,0.6095238095238096
4,xgb_clf,0.9482758620689655,0.9649122807017544,0.9565217391304348,0.994887881956547,0.9285714285714286,0.9122807017543859,0.9203539823008849,0.6666666666666666,0.5614035087719298,0.6095238095238096
5,logreg,0.8620689655172413,0.9259259259259259,0.8928571428571429,0.9948843871495805,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.6,0.4444444444444444,0.5106382978723404
5,xgb_clf,0.7297297297297297,1.0,0.84375,0.9930427665234296,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.6,0.4444444444444444,0.5106382978723404
6,logreg,0.14285714285714285,1.0,0.25,0.9975728155339806,0.5,0.5,0.5,0.15384615384615385,1.0,0.26666666666666666
6,xgb_clf,0.15384615384615385,1.0,0.26666666666666666,1.0,0.5,0.5,0.5,0.15384615384615385,1.0,0.26666666666666666
7,logreg,0.4444444444444444,1.0,0.6153846153846154,1.0,0.875,0.875,0.875,0.24,0.75,0.36363636363636365
7,xgb_clf,0.7272727272727273,1.0,0.8421052631578947,0.999375,0.875,0.875,0.875,0.24,0.75,0.36363636363636365
8,logreg,0.7428571428571429,0.6341463414634146,0.6842105263157895,0.775234521575985,0.9367088607594937,0.9024390243902439,0.9192546583850931,0.6122448979591837,0.36585365853658536,0.4580152671755725
8,xgb_clf,0.819672131147541,0.6097560975609756,0.6993006993006993,0.8337711069418385,0.9367088607594937,0.9024390243902439,0.9192546583850931,0.6122448979591837,0.36585365853658536,0.4580152671755725
9,logreg,0.90625,0.9830508474576272,0.943089430894309,0.9887005649717514,0.9663865546218487,0.9745762711864406,0.9704641350210971,0.8666666666666667,0.3305084745762712,0.4785276073619632
9,xgb_clf,0.9680851063829787,0.7711864406779662,0.8584905660377359,0.9791902071563088,0.9663865546218487,0.9745762711864406,0.9704641350210971,0.8666666666666667,0.3305084745762712,0.4785276073619632
10,logreg,0.4819277108433735,0.7407407407407407,0.583941605839416,0.8748196248196247,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.8260869565217391,0.35185185185185186,0.4935064935064935
10,xgb_clf,0.5252525252525253,0.9629629629629629,0.6797385620915033,0.9102934102934103,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.8260869565217391,0.35185185185185186,0.4935064935064935
