fold,model,mae,rmse,mape
1,baseline,1342.5,2459.8,264.6
1,sarima,1088.2,1890.3,255.6
1,xgb_cases_climate,316.5,609.2,29.1
1,xgb_cases_climate_sst,302.0,571.6,30.1
1,xgb_cases_only,311.3,598.3,29.1
1,xrfm_cases_climate,181.1,353.1,25.5
1,xrfm_cases_climate_sst,210.3,424.0,25.0
1,xrfm_cases_only,213.7,421.2,27.8
2,baseline,1024.5,1823.7,480.0
2,sarima,455.2,700.4,337.2
2,xgb_cases_climate,32.1,58.9,33.5
2,xgb_cases_climate_sst,32.0,57.7,31.9
2,xgb_cases_only,33.7,58.3,30.5
2,xrfm_cases_climate,30.4,49.1,32.7
2,xrfm_cases_climate_sst,24.7,40.2,25.3
2,xrfm_cases_only,32.6,55.0,32.7
3,baseline,83.0,113.4,56.3
3,sarima,254.2,343.0,212.5
3,xgb_cases_climate,24.4,38.0,19.2
3,xgb_cases_climate_sst,24.1,39.2,18.6
3,xgb_cases_only,23.9,36.8,18.5
3,xrfm_cases_climate,26.9,39.1,21.5
3,xrfm_cases_climate_sst,24.7,37.5,18.7
3,xrfm_cases_only,24.9,38.3,18.8
4,baseline,1011.9,1867.7,63.5
4,sarima,995.9,1776.0,74.2
4,xgb_cases_climate,225.5,474.6,17.3
4,xgb_cases_climate_sst,247.1,527.0,18.5
4,xgb_cases_only,200.0,455.1,16.1
4,xrfm_cases_climate,230.9,452.4,19.0
4,xrfm_cases_climate_sst,177.7,337.3,16.2
4,xrfm_cases_only,138.7,266.7,15.4
5,baseline,973.5,1840.7,773.7
5,sarima,228.6,281.9,156.8
5,xgb_cases_climate,44.1,79.3,35.5
5,xgb_cases_climate_sst,46.4,85.6,38.4
5,xgb_cases_only,44.4,78.6,34.3
5,xrfm_cases_climate,44.6,77.5,32.1
5,xrfm_cases_climate_sst,44.5,78.9,32.1
5,xrfm_cases_only,46.3,85.6,34.2
6,baseline,207.2,305.5,779.5
6,sarima,120.3,174.4,158.7
6,xgb_cases_climate,32.2,49.2,151.9
6,xgb_cases_climate_sst,31.4,46.0,156.5
6,xgb_cases_only,31.0,45.2,135.7
6,xrfm_cases_climate,28.9,43.3,194.4
6,xrfm_cases_climate_sst,28.4,42.1,193.6
6,xrfm_cases_only,25.3,39.0,38.5
7,baseline,167.4,248.9,67.9
7,sarima,279.3,386.8,81.9
7,xgb_cases_climate,67.7,104.2,24.4
7,xgb_cases_climate_sst,65.8,102.8,23.8
7,xgb_cases_only,64.9,98.1,23.1
7,xrfm_cases_climate,55.4,87.1,21.7
7,xrfm_cases_climate_sst,94.6,144.6,25.8
7,xrfm_cases_only,50.0,79.2,20.5
8,baseline,689.4,944.6,68.4
8,sarima,733.2,968.5,69.5
8,xgb_cases_climate,183.0,311.8,17.3
8,xgb_cases_climate_sst,184.1,317.2,17.4
8,xgb_cases_only,181.6,314.8,17.2
8,xrfm_cases_climate,153.4,275.7,15.2
8,xrfm_cases_climate_sst,168.5,294.0,16.1
8,xrfm_cases_only,153.8,276.1,15.2
9,baseline,7697.7,12860.1,63.9
9,sarima,6990.5,10895.1,185.1
9,xgb_cases_climate,5518.1,9783.1,24.0
9,xgb_cases_climate_sst,6016.3,10535.4,27.8
9,xgb_cases_only,5440.9,9686.6,23.3
9,xrfm_cases_climate,2083.5,3716.0,16.4
9,xrfm_cases_climate_sst,1711.5,3080.0,15.3
9,xrfm_cases_only,2571.4,4574.1,18.6
10,baseline,6566.8,11330.7,284.0
10,sarima,565.3,788.9,68.5
10,xgb_cases_climate,234.6,368.5,14.6
10,xgb_cases_climate_sst,667.4,1301.5,16.8
10,xgb_cases_only,235.2,363.7,14.7
10,xrfm_cases_climate,233.0,327.3,15.2
10,xrfm_cases_climate_sst,325.7,479.6,14.5
10,xrfm_cases_only,259.1,386.9,15.5
