"SE" "temp_med" "casos" "pop"
"1" 201001 26.499 10 263915
"2" 201002 24.2309857142857 21 263915
"3" 201003 24.2826428571429 34 263915
"4" 201004 24.7336857142857 35 263915
"5" 201005 28.3352285714286 40 263915
"6" 201006 25.5825285714286 80 263915
"7" 201007 24.5926142857143 94 263915
"8" 201008 23.7003285714286 146 263915
"9" 201009 24.0873 330 263915
"10" 201010 23.5040285714286 539 263915
"11" 201011 23.5073857142857 656 263915
"12" 201012 22.3134 788 263915
"13" 201013 24.0569857142857 916 263915
"14" 201014 18.3251571428571 964 263915
"15" 201015 20.7422 1043 263915
"16" 201016 21.6758571428571 896 263915
"17" 201017 18.3731428571429 970 263915
"18" 201018 18.0975428571429 813 263915
"19" 201019 13.5943285714286 668 263915
"20" 201020 14.8111285714286 305 263915
"21" 201021 16.9639285714286 164 263915
"22" 201022 14.0743428571429 70 263915
"23" 201023 13.6977314285714 57 263915
"24" 201024 19.7129714285714 85 263915
"25" 201025 16.8670571428571 53 263915
"26" 201026 18.5484571428571 60 263915
"27" 201027 19.2845571428571 58 263915
"28" 201028 9.67614285714286 29 263915
"29" 201029 12.6715485714286 11 263915
"30" 201030 17.1548571428571 12 263915
"31" 201031 9.40307142857143 6 263915
"32" 201032 15.4226 7 263915
"33" 201033 15.8308628571429 9 263915
"34" 201034 22.3456571428571 6 263915
"35" 201035 19.7178571428571 9 263915
"36" 201036 18.6544142857143 11 263915
"37" 201037 19.2682285714286 7 263915
"38" 201038 19.0701142857143 12 263915
"39" 201039 17.9230571428571 9 263915
"40" 201040 17.6268714285714 5 263915
"41" 201041 19.9478428571429 11 263915
"42" 201042 19.6602428571429 13 263915
"43" 201043 20.2228428571429 45 263915
"44" 201044 20.682 34 263915
"45" 201045 22.0067857142857 32 263915
"46" 201046 22.5547857142857 43 263915
"47" 201047 23.1730428571429 37 263915
"48" 201048 23.8863571428571 31 263915
"49" 201049 23.673 86 263915
"50" 201050 22.1088857142857 151 263915
"51" 201051 25.8217857142857 86 263915
"52" 201052 25.9055 72 263915
"53" 201101 25.9197142857143 91 263915
"54" 201102 26.2532 90 263915
"55" 201103 25.2788285714286 97 263915
"56" 201104 27.1798285714286 151 263915
"57" 201105 26.0581428571429 131 263915
"58" 201106 24.9078142857143 145 263915
"59" 201107 25.9397571428571 216 263915
"60" 201108 25.4695 264 263915
"61" 201109 25.4452571428571 465 263915
"62" 201110 25.649 435 263915
"63" 201111 25.3862428571429 597 263915
"64" 201112 26.3802714285714 850 263915
"65" 201113 23.6988714285714 837 263915
"66" 201114 22.4201571428571 642 263915
"67" 201115 21.8090428571429 467 263915
"68" 201116 23.3067714285714 241 263915
"69" 201117 20.1236428571429 178 263915
"70" 201118 16.7439571428571 107 263915
"71" 201119 21.8344428571429 96 263915
"72" 201120 16.6785714285714 53 263915
"73" 201121 18.1154 68 263915
"74" 201122 15.1798 46 263915
"75" 201123 13.0835428571429 10 263915
"76" 201124 18.7269285714286 28 263915
"77" 201125 20.1764 23 263915
"78" 201126 9.81804 5 263915
"79" 201127 8.81851857142857 4 263915
"80" 201128 20.8815142857143 13 263915
"81" 201129 16.339 10 263915
"82" 201130 19.7899142857143 15 263915
"83" 201131 12.2676142857143 6 263915
"84" 201132 22.3173571428571 15 263915
"85" 201133 19.0543042857143 15 263915
"86" 201134 14.4049328571429 10 263915
"87" 201135 19.9799285714286 27 263915
"88" 201136 19.0014142857143 28 263915
"89" 201137 20.1387714285714 26 263915
"90" 201138 18.9152142857143 23 263915
"91" 201139 22.2772142857143 35 263915
"92" 201140 22.7947285714286 43 263915
"93" 201141 21.8173857142857 38 263915
"94" 201142 22.3879285714286 48 263915
"95" 201143 22.0431285714286 38 263915
"96" 201144 20.3514571428571 38 263915
"97" 201145 24.4296571428571 37 263915
"98" 201146 21.5008 58 263915
"99" 201147 22.4277714285714 91 263915
"100" 201148 23.6342428571429 105 263915
"101" 201149 24.3806142857143 98 263915
"102" 201150 23.5999571428571 119 263915
"103" 201151 26.2718428571429 81 263915
"104" 201152 25.9114 68 263915
"105" 201201 26.0317888888889 56 263915
"106" 201202 26.0882428571429 63 263915
"107" 201203 26.5196714285714 55 263915
"108" 201204 25.6067571428571 52 263915
"109" 201205 28.1099714285714 41 263915
"110" 201206 28.1486142857143 45 263915
"111" 201207 27.1014428571429 24 263915
"112" 201208 25.4894857142857 41 263915
"113" 201209 24.5051142857143 35 263915
"114" 201210 27.5005857142857 39 263915
"115" 201211 25.8047428571429 41 263915
"116" 201212 24.1248142857143 39 263915
"117" 201213 18.3155571428571 38 263915
"118" 201214 22.36 23 263915
"119" 201215 23.3226142857143 44 263915
"120" 201216 21.2084285714286 23 263915
"121" 201217 18.8544571428571 29 263915
"122" 201218 15.6254 25 263915
"123" 201219 19.9721857142857 30 263915
"124" 201220 17.5365 22 263915
"125" 201221 17.9926714285714 26 263915
"126" 201222 20.2292142857143 17 263915
"127" 201223 11.33755 8 263915
"128" 201224 20.3884 14 263915
"129" 201225 16.1799571428571 11 263915
"130" 201226 18.9968714285714 11 263915
"131" 201227 18.7616714285714 8 263915
"132" 201228 12.4947642857143 10 263915
"133" 201229 12.4776285714286 2 263915
"134" 201230 19.1022428571429 4 263915
"135" 201231 20.6725714285714 5 263915
"136" 201232 22.049 5 263915
"137" 201233 22.8060714285714 5 263915
"138" 201234 23.0445428571429 5 263915
"139" 201235 16.1425571428571 5 263915
"140" 201236 24.4805571428571 11 263915
"141" 201237 21.5702 7 263915
"142" 201238 21.7238285714286 11 263915
"143" 201239 17.3217857142857 3 263915
"144" 201240 23.2897142857143 14 263915
"145" 201241 24.4304714285714 14 263915
"146" 201242 22.1930285714286 4 263915
"147" 201243 21.9914142857143 10 263915
"148" 201244 23.7180142857143 9 263915
"149" 201245 24.8708428571429 12 263915
"150" 201246 24.3507142857143 9 263915
"151" 201247 25.301 19 263915
"152" 201248 25.0473 18 263915
"153" 201249 26.8790142857143 26 263915
"154" 201250 25.9445428571429 31 263915
"155" 201251 26.5157571428571 28 263915
"156" 201252 26.8190714285714 16 263915
"157" 201301 24.4708857142857 55 263915
"158" 201302 25.3360571428571 50 263915
"159" 201303 25.6722857142857 46 263915
"160" 201304 25.0012285714286 76 263915
"161" 201305 27.2616428571429 91 263915
"162" 201306 24.7360714285714 133 263915
"163" 201307 24.1994571428571 104 263915
"164" 201308 25.6362714285714 150 263915
"165" 201309 25.4736857142857 197 263915
"166" 201310 24.3569714285714 282 263915
"167" 201311 23.1306428571429 473 263915
"168" 201312 21.9030428571429 536 263915
"169" 201313 21.2384428571429 471 263915
"170" 201314 22.7686857142857 461 263915
"171" 201315 22.5672285714286 530 263915
"172" 201316 16.8261428571429 447 263915
"173" 201317 20.3602142857143 358 263915
"174" 201318 22.9590571428571 244 263915
"175" 201319 15.8176285714286 171 263915
"176" 201320 17.0590857142857 132 263915
"177" 201321 18.3850142857143 94 263915
"178" 201322 18.1482 86 263915
"179" 201323 17.2879857142857 57 263915
"180" 201324 17.4579 51 263915
"181" 201325 16.7612285714286 27 263915
"182" 201326 16.8684714285714 16 263915
"183" 201327 18.5616714285714 24 263915
"184" 201328 19.8974428571429 17 263915
"185" 201329 16.2164714285714 12 263915
"186" 201330 8.72686142857143 2 263915
"187" 201331 19.8089142857143 8 263915
"188" 201332 18.1444714285714 8 263915
"189" 201333 11.4328914285714 6 263915
"190" 201334 18.7097571428571 14 263915
