"SE" "temp_med" "casos" "pop"
"1" 201001 28.7143 30 6498837
"2" 201002 29.0219428571429 46 6498837
"3" 201003 28.3441 30 6498837
"4" 201004 27.8225285714286 51 6498837
"5" 201005 29.9350285714286 58 6498837
"6" 201006 30.0842142857143 58 6498837
"7" 201007 28.5630571428571 40 6498837
"8" 201008 27.7363571428571 62 6498837
"9" 201009 23.4484285714286 76 6498837
"10" 201010 27.7837571428571 77 6498837
"11" 201011 26.2813 70 6498837
"12" 201012 27.7732714285714 78 6498837
"13" 201013 26.4759285714286 81 6498837
"14" 201014 22.3579714285714 70 6498837
"15" 201015 23.9231285714286 116 6498837
"16" 201016 26.6441428571429 54 6498837
"17" 201017 24.3545714285714 98 6498837
"18" 201018 25.2672714285714 128 6498837
"19" 201019 21.6047857142857 114 6498837
"20" 201020 22.5766 102 6498837
"21" 201021 22.1925428571429 124 6498837
"22" 201022 20.9447857142857 112 6498837
"23" 201023 19.5463428571429 73 6498837
"24" 201024 19.8551 92 6498837
"25" 201025 20.9768714285714 77 6498837
"26" 201026 20.9634285714286 88 6498837
"27" 201027 21.5186857142857 114 6498837
"28" 201028 22.1165285714286 89 6498837
"29" 201029 22.1065428571429 97 6498837
"30" 201030 22.4541857142857 113 6498837
"31" 201031 21.1851428571429 111 6498837
"32" 201032 20.8647714285714 101 6498837
"33" 201033 18.4086285714286 89 6498837
"34" 201034 23.0905857142857 100 6498837
"35" 201035 24.0021571428571 73 6498837
"36" 201036 20.8977714285714 64 6498837
"37" 201037 22.8678142857143 68 6498837
"38" 201038 22.9974428571429 78 6498837
"39" 201039 23.0846714285714 77 6498837
"40" 201040 22.5871428571429 42 6498837
"41" 201041 21.5558571428571 41 6498837
"42" 201042 22.6305285714286 51 6498837
"43" 201043 23.4215285714286 54 6498837
"44" 201044 24.5164571428571 62 6498837
"45" 201045 23.4790142857143 78 6498837
"46" 201046 22.7360857142857 51 6498837
"47" 201047 25.2334 79 6498837
"48" 201048 27.6658142857143 101 6498837
"49" 201049 26.8313857142857 172 6498837
"50" 201050 27.2514571428571 222 6498837
"51" 201051 27.2902857142857 177 6498837
"52" 201052 25.2105142857143 202 6498837
"53" 201101 26.8299285714286 249 6498837
"54" 201102 27.6793857142857 291 6498837
"55" 201103 28.6837428571429 280 6498837
"56" 201104 29.2912571428571 520 6498837
"57" 201105 28.5751 671 6498837
"58" 201106 29.5115714285714 1219 6498837
"59" 201107 28.7054857142857 1927 6498837
"60" 201108 28.0092142857143 2056 6498837
"61" 201109 24.9237714285714 1995 6498837
"62" 201110 24.7991857142857 1444 6498837
"63" 201111 26.0255 2786 6498837
"64" 201112 25.4244857142857 4266 6498837
"65" 201113 25.9791571428571 5974 6498837
"66" 201114 24.7941714285714 7117 6498837
"67" 201115 26.9428285714286 6539 6498837
"68" 201116 26.5241857142857 4915 6498837
"69" 201117 23.4723571428571 5801 6498837
"70" 201118 23.9600285714286 5267 6498837
"71" 201119 22.4422571428571 4433 6498837
"72" 201120 20.3423857142857 3915 6498837
"73" 201121 21.1448142857143 3056 6498837
"74" 201122 20.837 2570 6498837
"75" 201123 19.5611285714286 1543 6498837
"76" 201124 19.8021285714286 1213 6498837
"77" 201125 21.4276142857143 869 6498837
"78" 201126 20.4170571428571 734 6498837
"79" 201127 17.9132714285714 470 6498837
"80" 201128 20.2480285714286 312 6498837
"81" 201129 22.0531857142857 273 6498837
"82" 201130 21.2777428571429 312 6498837
"83" 201131 20.7968 210 6498837
"84" 201132 22.0922428571429 192 6498837
